
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   Frei Puffer  Cache   si   so    bi    bo   In   cs US SY ID WA st
 0  0      0 140084 318656 2746364    0    0  1068  1109 1375 1266  4  2 94  0  0
 0  0      0 115128 318664 2741920    0    0     0   936  698  536  9  2 89  0  0
 0  0      0 111132 318664 2745804    0    0     0  1454  359  262  0  0 99  0  0
 1  0      0 108516 318668 2748700    0    0     0  1434  299  272  0  0 99  0  0
 1  0      8 109736 319216 2735744    0    1     7  3184 1607 2668  2  3 93  2  0
 1  0     32 137144 321296 2702976    0    2   101  4557 3665 6520 13  9 71  7  0
 1  0      0 234116 323964 2636080    2    0    50 18236 6282 10384  6  8 79  7  0
 0  0      0 202724 323976 2639272    0    0     0  1530 1551 1333 10  3 87  0  0
 0  1      0 129944 326204 2697680    0    0     0  3745 2920 4861  3  5 89  3  0
 1  0     40 128368 327624 2695084    0    4     0  4537 3487 6056 13  8 72  6  0
 1  0      0 244476 328932 2613612    0    0     5 16389 4485 8215  4  5 84  7  0
 1  0      0 202092 328944 2628188    0    0     0  2194 1468 1079 11  2 87  0  0
 0  1      0 166752 329596 2655796    0    0     0  1638 1420 2079  1  2 96  1  0
 0  1     24 140876 331516 2673732    0    3     0  6932 3740 6713 12  9 71  8  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   Frei Puffer  Cache   si   so    bi    bo   In   cs US SY ID WA st
 0  0      0 246704 334500 2587252    1    0    12 18553 5350 10187  7  7 76 10  0
 0  0      0 220780 334504 2623780    0    0     0  1981 1504 1064  4  1 95  0  0
 0  0      0 206600 334516 2609240    0    0     0   362  471  399  8  1 91  0  0
 0  0      0 203060 334516 2612776    0    0     0  1447  369  291  0  0 99  0  0
 0  0      0 198072 334516 2617580    0    0     0  2492  401  377  0  0 99  0  0
 0  1   2056 131272 336356 2660112    3  206    30  5341 4072 7373 11  9 73  7  0
 0  0      0 251880 339612 2576128    2    0    26  8210 5596 10505  8  9 76  7  0
 0  0      0 203448 339612 2596828    0    0     0 11420 2404 1935 12  3 84  2  0
 0  1      0 183956 339644 2610068    0    0     0  1202 1190 1232  1  2 97  0  0
 1  0      0 150652 340428 2631472    0    0     2  5354 4168 7615 12  9 72  7  0
 0  0      0 335240 343384 2534788    0    0   302 10440 5682 10902  9  9 70 12  0
 1  0      0 329100 343392 2540764    0    0     1  8067  649  571  1  1 96  3  0
 0  0      0 316252 343392 2554624    0    0     0   780 1017 1287  2  1 97  0  0
 0  0      0 307980 343396 2562096    0    0     2  2250 1067 1472  1  1 98  0  0
 1  0      0 287412 343396 2555052    0    0     0  1482  745  813  9  2 89  0  0
 0  0      0 282852 343396 2559684    0    0     0   486  460  507  1  1 98  0  0
 0  0      0 278172 343396 2564816    0    0     0  1462  439  494  0  1 99  0  0
 1  1      0 192884 344900 2636728    0    0     0  5450 3851 6930 11  7 76  6  0
 2  0      0 280388 348284 2575920    0    0     0  9522 5974 11155 10 10 73  8  0
 0  0      0 273296 348300 2581800    0    0     0 10361 1216 1822  1  2 93  4  0
 0  0      0 260208 348300 2595404    0    0     0   777  429  297  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   Frei Puffer  Cache   si   so    bi    bo   In   cs US SY ID WA st
 0  0      0 252876 348300 2602760    0    0     0   346  403  214  0  1 99  0  0
 1  0      0 242304 348300 2596224    0    0     0  1265  407  282  6  1 93  0  0
 0  0      0 219088 348300 2606560    0    0     0  1037  830  725  3  1 95  0  0
 1  1      0 129748 350844 2680732    0    0     0  6094 4098 7428 12  8 72  7  0
 0  0      0 243504 353044 2593536    0    0     0  5874 5690 10762  9  8 77  5  0
 0  0      0 236984 353044 2600740    0    0     0  8716  705  665  0  1 97  2  0
 0  0      0 222116 353048 2616048    0    0     0   952  600  711  2  1 97  0  0
 0  0      0 216280 353052 2622000    0    0     0  1041  779 1020  0  1 99  0  0
 0  0      0 194304 353068 2615388    0    0     0  1846  509  470  9  1 89  0  0
 2  0      0 158272 354220 2642604    0    0     0  2798 1826 2633  1  3 95  1  0
 0  1      8 149756 355864 2644268    0    1     0  5002 3759 6699 13  9 71  7  0
 0  0      0 285388 358816 2538144    0    0    23 17206 5396 9985  6  7 79  7  0
 0  0      0 240772 358824 2555812    0    0     0  2194 2178 1993 11  3 86  0  0
 0  1      0 198932 359280 2589268    0    0     0  2208 1917 2877  2  3 93  2  0
 1  0      0 140040 360144 2638192    0    0     0  6510 3685 6594 13  8 71  7  0
 0  0      4 277480 361944 2529352    0    0     0 16666 5325 9975  6  7 78  9  0
 0  0      4 238788 361956 2545476    0    0     0  2045 1509 1062 11  2 87  0  0
 0  1      4 163092 363580 2607600    0    0     0  4050 3223 5095  2  5 89  4  0
 1  0      4 138404 364772 2629944    0    0     0  5644 2741 4806 12  7 71  9  0
 0  0      4 254476 365444 2547096    0    0     0 16080 6835 10984  7  9 78  6  0
 0  0      4 230492 365444 2543260    0    0     0  1246  856  685  9  2 89  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   Frei Puffer  Cache   si   so    bi    bo   In   cs US SY ID WA st
 0  0      4 227080 365444 2546708    0    0     0   412  308  274  0  0 100  0  0
 0  0      4 222884 365444 2551068    0    0     0  3887  519  549  0  1 99  0  0
 2  0      4 131048 366804 2622380    0    0     0  6266 3543 6484 11  7 73  9  0
 3  0      4 289028 369888 2504080    0    0     0  8924 5196 9586  9  9 74  7  0
 0  0      4 266104 369900 2526236    0    0     6 10836 2401 3348  3  2 92  3  0
 1  0      4 238208 369900 2524556    0    0     0   933  826  676  9  2 89  0  0
 0  0      4 232672 369900 2529244    0    0     0   732  421  344  1  1 98  0  0
 0  0      4 226596 369900 2533424    0    0     0  1181  448  374  0  0 99  0  0
 1  1      4 165232 370088 2583552    0    0     0  4474 2194 3965  3  4 89  4  0
 1  0      4 135500 371176 2610316    0    0     0  4051 3412 5992 13  8 72  7  0
 0  0      4 298664 372968 2480008    0    0     0 16689 4666 8798  5  6 83  6  0
 0  0      4 293288 372968 2486128    0    0     0   158  740  772  0  0 100  0  0
 0  0      4 277960 372972 2501536    0    0     0   953  656  643  2  1 98  0  0
 2  0      4 264748 372972 2514908    0    0     0  1713  681  894  2  1 98  0  0
 0  0      4 253000 372992 2498336    0    0     0   289  317  276  8  1 91  0  0
 0  0      4 249800 373000 2501964    0    0     0  1354  284  263  0  0 99  0  0
 0  0      4 247576 373004 2504112    0    0     0   244  257  246  0  0 99  0  0
 0  0      4 244196 373008 2507596    0    0     0  1289  270  254  0  1 99  0  0
 1  0      4 150332 375184 2579008    0    0     0  4592 3517 6379 10  8 75  6  0
 0  0      4 275352 376632 2493180    0    0     0  9558 5625 10537  9  9 75  8  0
 0  0      4 258172 376672 2511884    0    0     0 10449 1435 1768  3  2 93  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   Frei Puffer  Cache   si   so    bi    bo   In   cs US SY ID WA st
 1  0      4 242136 376676 2513512    0    0     0  1104  773  661  4  1 95  0  0
 0  0      4 218032 376684 2523424    0    0     0  1268  779  686  6  2 92  0  0
 1  1      4 133044 377632 2595100    0    0     0  5784 3732 6732 11  8 73  8  0
 0  0      4 245052 381016 2512008    0    0     0  7736 6174 11649  9  9 74  8  0
 0  0      4 219776 381016 2538208    0    0     0  9680 1484 1055  3  2 94  2  0
 0  0      4 195532 381016 2534124    0    0     0  1096  773  587  9  2 89  0  0
 0  0      4 190512 381016 2538960    0    0     0  2104  458  419  0  0 99  1  0
 0  1      4 129172 382040 2588056    0    0     0  3919 2384 4175  3  4 89  4  0
 1  0      4 147560 383340 2565996    0    0     0  4921 3372 5916 13  8 72  7  0
 1  0      4 263720 384632 2485976    0    0     6 17277 4592 8720  4  6 83  7  0
 1  0      4 258140 384632 2491840    0    0     0   148  647  791  0  1 99  0  0
 0  0      4 243084 384632 2507236    0    0     0   952  589  723  2  0 98  0  0
 0  0      4 229292 384632 2520760    0    0     0  1690  673  893  2  1 97  1  0
 0  0      4 216948 384632 2504360    0    0     0   353  308  267  8  1 91  0  0
 0  0      4 214480 384632 2507804    0    0     0  1353  285  259  0  0 99  0  0
 0  0      4 212020 384632 2510144    0    0     0   243  221  217  0  0 100  0  0
 0  0      4 208960 384636 2513632    0    0     0  1312  318  283  0  0 99  0  0
 0  1      4 119728 386764 2587864    0    0     0  5316 4194 7594 12  8 72  7  0
 1  0      4 244876 388984 2483228    2    7    11 13381 5535 10548  8  8 77  7  0
 0  0      4 247168 388984 2493632    0    0     0  4444  636  435  1  1 96  2  0
 0  0      4 218312 388984 2523064    0    0     0  1866  970  716  3  1 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   Frei Puffer  Cache   si   so    bi    bo   In   cs US SY ID WA st
 0  0      4 205436 388984 2507508    0    0     0   507  479  375  7  1 91  0  0
 0  0      4 200484 388988 2512188    0    0     0  1417  471  409  0  1 99  0  0
 1  0      4 114156 390712 2579312    0    0     0  5425 3026 5459  8  5 82  5  0
 0  1     12 148460 392972 2569384    0    1     4  7448 3757 6734 10  9 72  9  0
 1  0     12 222508 393236 2497020    0    0     3 12888 5491 7920  7  5 85  3  0
